Designator,Mid X,Mid Y,Layer,Rotation
C1,92.5195,-52.0065,top,0
C2,96.52,-82.296,top,0
C3,89.662,-26.924,top,90
C4,94.996,-26.924,top,90
C5,75.565,-109.6645,top,0
C6,92.837,-109.601,top,0
C7,77.978,-104.634,top,90
C8,90.932,-104.5845,top,90
C9,89.662,-59.041,top,270
C10,89.662,-62.738,top,270
C11,81.2025,-83.693,top,180
C12,81.1035,-71.4375,top,0
C13,79.4385,-59.041,top,270
C14,79.502,-62.738,top,270
C15,76.327,-52.0065,top,0
C16,73.152,-82.296,top,0
C17,79.248,-26.924,top,90
C18,73.914,-26.924,top,90
D1,88.759,-52.0065,top,0
D3,74.422,-103.886,top,90
D4,94.488,-103.6965,top,90
D5,80.137,-52.0065,top,180
Q1,96.52,-75.184,top,90
Q2,96.52,-79.264,top,90
Q3,96.52,-71.12,top,270
Q4,88.7705,-54.7845,top,270
Q5,96.52,-43.18,top,0
Q6,77.089,-75.184,top,90
Q7,77.089,-79.264,top,90
Q8,77.089,-71.12,top,270
Q9,80.137,-54.7845,top,270
Q10,73.66,-43.18,top,180
R1,92.343,-74.168,top,0
R2,92.343,-72.136,top,180
R3,92.343,-70.104,top,0
R4,96.379,-50.165,top,180
R5,96.379,-53.848,top,180
R6,92.343,-68.072,top,180
R7,96.407,-52.0065,top,0
R8,92.5335,-50.165,top,180
R9,92.343,-78.232,top,180
R10,92.343,-80.264,top,180
R11,92.343,-66.04,top,180
R12,92.343,-76.2,top,180
R13,92.5335,-37.592,top,0
R14,88.759,-50.2285,top,180
R15,96.379,-66.04,top,0
R16,92.5195,-53.848,top,180
R17,96.393,-68.072,top,0
R18,92.5335,-35.56,top,180
R19,92.5335,-43.18,top,180
R20,73.152,-74.168,top,0
R21,73.152,-72.136,top,0
R22,73.138,-70.104,top,0
R23,72.503,-50.2285,top,0
R24,72.531,-53.848,top,180
R25,73.166,-68.072,top,0
R26,72.517,-52.0065,top,0
R27,76.341,-50.2285,top,0
R28,73.166,-78.232,top,0
R29,73.152,-80.264,top,0
R30,73.166,-66.04,top,0
R31,73.152,-76.2,top,0
R32,76.835,-37.592,top,180
R33,80.182,-50.2285,top,0
R34,77.103,-66.04,top,0
R35,76.327,-53.848,top,0
R36,77.089,-68.072,top,0
R37,76.835,-35.56,top,0
R38,77.484,-43.18,top,0
U1,94.234,-60.198,top,270
U2,84.455,-77.47,top,270
U3,74.93,-60.198,top,270
